Date,Index_2x,MA_2x
2021-08-13,7803.010009765625,5785.296009765625
2021-08-16,7826.429931640625,5791.517129882813
2021-08-17,7763.170166015625,5797.617650390625
2021-08-18,7667.550048828125,5803.830290039063
2021-08-19,7678.609619140625,5809.939969726563
2021-08-20,7750.349853515625,5816.230009765625
2021-08-23,7826.069580078125,5822.596369140625
2021-08-24,7839.469970703125,5828.84296875
2021-08-25,7859.389892578125,5835.121888671875
2021-08-26,7807.010009765625,5841.37680859375
2021-08-27,7885.750244140625,5847.6631689453125
2021-08-30,7924.590087890625,5853.874329101563
2021-08-31,7912.370361328125,5860.0502099609375
2021-09-01,7915.189697265625,5866.232849609375
2021-09-02,7940.910400390625,5872.463090820313
2021-09-03,7937.870361328125,5878.601091796875
2021-09-07,7907.069580078125,5884.642930664062
2021-09-08,7895.149658203125,5890.669650390625
2021-09-09,7853.569580078125,5896.6509296875
2021-09-10,7784.170166015625,5902.462450195312
2021-09-13,7804.469970703125,5908.310450195312
2021-09-14,7753.109619140625,5914.055489257813
2021-09-15,7828.410400390625,5920.010009765625
2021-09-16,7814.510009765625,5925.937889648438
2021-09-17,7732.990478515625,5931.8034501953125
2021-09-20,7582.469970703125,5937.294889648438
2021-09-21,7575.389892578125,5942.801168945312
2021-09-22,7658.290283203125,5948.536569335937
2021-09-23,7764.969970703125,5954.425529296875
2021-09-24,7777.969970703125,5960.48644921875
2021-09-27,7753.229736328125,5966.708448242188
2021-09-28,7572.269775390625,5972.476448242188
2021-09-29,7585.929931640625,5978.106248046875
2021-09-30,7482.090087890625,5983.581248046875
2021-10-01,7581.090087890625,5989.43716796875
2021-10-04,7467.929931640625,5994.961408203125
2021-10-05,7558.450439453125,6000.59176953125
2021-10-06,7594.109619140625,6006.164888671875
2021-10-07,7666.529541015625,6011.899328125
2021-10-08,7649.689697265625,6017.481967773438
2021-10-11,7589.389892578125,6022.9679677734375
2021-10-12,7568.309814453125,6028.378767578125
2021-10-13,7594.609619140625,6033.889166992188
2021-10-14,7743.529541015625,6039.615326171875
2021-10-15,7809.750244140625,6045.516846679688
2021-10-18,7839.929931640625,6051.444606445312
2021-10-19,7906.269775390625,6057.481965820312
2021-10-20,7939.389892578125,6063.536525390625
2021-10-21,7966.569580078125,6069.57796484375
2021-10-22,7956.809814453125,6075.610004882812
2021-10-25,7999.969970703125,6081.688844726563
2021-10-26,8016.590087890625,6087.837764648438
2021-10-27,7970.370361328125,6093.776845703125
2021-10-28,8059.849853515625,6099.8494453125
2021-10-29,8077.769775390625,6105.972484375
2021-11-01,8094.349853515625,6112.120043945312
2021-11-02,8128.309814453125,6118.301923828125
2021-11-03,8188.149658203125,6124.5718828125
2021-11-04,8227.130126953125,6130.944083007813
2021-11-05,8262.069580078125,6137.366841796875
2021-11-08,8270.410400390625,6143.797482421875
2021-11-09,8237.510009765625,6150.151962890625
2021-11-10,8160.429931640625,6156.256962890625
2021-11-11,8165.550048828125,6162.365922851563
2021-11-12,8232.710205078125,6168.616603515625
2021-11-15,8232.609619140625,6174.913962890625
2021-11-16,8268.809814453125,6181.30340234375
2021-11-17,8244.349853515625,6187.616921875
2021-11-18,8276.090087890625,6193.900522460937
2021-11-19,8262.929931640625,6200.1302822265625
2021-11-22,8232.889892578125,6206.247522460938
2021-11-23,8248.410400390625,6212.446403320312
2021-11-24,8269.929931640625,6218.796762695312
2021-11-26,8056.250244140625,6224.802443359375
2021-11-29,8177.550048828125,6230.972483398437
2021-11-30,8001.010009765625,6236.770763671875
2021-12-01,7893.090087890625,6242.239284179687
2021-12-02,8021.210205078125,6248.003844726562
2021-12-03,7943.870361328125,6253.627485351562
2021-12-06,8050.349853515625,6259.4276455078125
2021-12-07,8240.510009765625,6265.500365234375
2021-12-08,8269.429931640625,6271.6300048828125
2021-12-09,8201.910400390625,6277.534005859375
2021-12-10,8291.050048828125,6283.612005859375
