Date,Price,MA_Index
2020-11-27,3638.35009765625,3018.7067153320313
2020-11-30,3621.6298828125,3020.549854980469
2020-12-01,3662.449951171875,3022.482854980469
2020-12-02,3669.010009765625,3024.55471484375
2020-12-03,3666.719970703125,3026.61271484375
2020-12-04,3699.1201171875,3028.737395019531
2020-12-07,3691.9599609375,3030.8191748046875
2020-12-08,3702.25,3032.9225947265627
2020-12-09,3672.820068359375,3035.0683349609376
2020-12-10,3668.10009765625,3037.3126552734375
2020-12-11,3663.4599609375,3039.547255371094
2020-12-14,3647.489990234375,3041.8283154296873
2020-12-15,3694.6201171875,3044.2827158203127
2020-12-16,3701.169921875,3046.8518154296876
2020-12-17,3722.47998046875,3049.5945751953127
2020-12-18,3709.409912109375,3052.0779951171876
2020-12-21,3694.919921875,3054.4901748046873
2020-12-22,3687.260009765625,3056.89321484375
2020-12-23,3690.010009765625,3059.2595346679686
2020-12-24,3703.06005859375,3061.6455947265626
2020-12-28,3735.360107421875,3064.22053515625
2020-12-29,3727.0400390625,3066.6107353515627
2020-12-30,3732.0400390625,3068.975435546875
2020-12-31,3756.070068359375,3071.338755859375
2021-01-04,3700.64990234375,3073.5701357421876
2021-01-05,3726.860107421875,3075.830576171875
2021-01-06,3748.139892578125,3078.1343359375
2021-01-07,3803.7900390625,3080.576695800781
2021-01-08,3824.679931640625,3083.0054555664065
2021-01-11,3799.610107421875,3085.3724755859375
2021-01-12,3801.18994140625,3087.702935546875
2021-01-13,3809.840087890625,3089.9811958007813
2021-01-14,3795.5400390625,3092.3064760742186
2021-01-15,3768.25,3094.565576171875
2021-01-19,3798.909912109375,3096.8787358398436
2021-01-20,3851.85009765625,3099.252916015625
2021-01-21,3853.070068359375,3101.671355957031
2021-01-22,3841.469970703125,3104.0742958984374
2021-01-25,3855.360107421875,3106.422916015625
2021-01-26,3849.6201171875,3108.7139560546875
2021-01-27,3750.77001953125,3110.8024360351565
2021-01-28,3787.3798828125,3112.927455566406
2021-01-29,3714.239990234375,3114.8805356445314
2021-02-01,3773.860107421875,3116.9650356445313
2021-02-02,3826.31005859375,3119.2055556640626
2021-02-03,3830.169921875,3121.4501357421873
2021-02-04,3871.739990234375,3123.774015625
2021-02-05,3886.830078125,3126.0582158203124
2021-02-08,3915.590087890625,3128.3833359375
2021-02-09,3911.22998046875,3130.7143359375
2021-02-10,3909.8798828125,3132.9828955078124
2021-02-11,3916.3798828125,3135.2561352539065
2021-02-12,3934.830078125,3137.5563955078123
2021-02-16,3932.590087890625,3139.871815917969
2021-02-17,3931.330078125,3142.1491362304687
2021-02-18,3913.969970703125,3144.384855957031
2021-02-19,3906.7099609375,3146.6104760742187
2021-02-22,3876.5,3148.7787163085936
2021-02-23,3881.3701171875,3150.9724765625
2021-02-24,3925.429931640625,3153.215956542969
2021-02-25,3829.340087890625,3155.2890166015627
2021-02-26,3811.14990234375,3157.3320166015624
2021-03-01,3901.820068359375,3159.5927568359375
2021-03-02,3870.2900390625,3161.8354770507813
2021-03-03,3819.719970703125,3163.9887768554686
2021-03-04,3768.469970703125,3165.9591166992186
2021-03-05,3841.93994140625,3168.059956542969
2021-03-08,3821.35009765625,3170.0808168945314
2021-03-09,3875.43994140625,3172.2147368164065
2021-03-10,3898.81005859375,3174.367396972656
2021-03-11,3939.340087890625,3176.580197265625
2021-03-12,3943.340087890625,3178.8017373046873
2021-03-15,3968.93994140625,3181.0911572265627
2021-03-16,3962.7099609375,3183.3068173828124
2021-03-17,3974.1201171875,3185.6536376953127
2021-03-18,3915.4599609375,3187.887837402344
2021-03-19,3913.10009765625,3190.077117675781
2021-03-22,3940.590087890625,3192.3475576171877
2021-03-23,3910.52001953125,3194.5377177734376
2021-03-24,3889.139892578125,3196.6471977539063
2021-03-25,3909.52001953125,3198.731857910156
2021-03-26,3974.5400390625,3200.9464580078125
2021-03-29,3971.090087890625,3203.1418383789064
2021-03-30,3958.550048828125,3205.300158691406
2021-03-31,3972.889892578125,3207.460458496094
2021-04-01,4019.8701171875,3209.708658691406
2021-04-05,4077.909912109375,3212.108078613281
2021-04-06,4073.93994140625,3214.4795385742186
2021-04-07,4079.949951171875,3216.8627983398437
2021-04-08,4097.169921875,3219.242318359375
2021-04-09,4128.7998046875,3221.6887578125
2021-04-12,4127.990234375,3224.1306181640625
2021-04-13,4141.58984375,3226.6128979492187
2021-04-14,4124.66015625,3229.052158203125
2021-04-15,4170.419921875,3231.577058105469
2021-04-16,4185.47021484375,3234.080638671875
2021-04-19,4163.259765625,3236.552658203125
2021-04-20,4134.93994140625,3238.9701982421875
2021-04-21,4173.419921875,3241.4372783203125
2021-04-22,4134.97998046875,3243.8211782226563
2021-04-23,4180.169921875,3246.289857910156
2021-04-26,4187.6201171875,3248.8176381835938
2021-04-27,4186.72021484375,3251.356038574219
