Date,Net Value,ROIC,Cash,Holdings,Price,SMA1,SMA2,Stop Loss
2002-02-15,995.3546714212656,98.53546714212656,990.0,0.0006364920135051872,8412.7865042284,10181.39992218452,12639.803566136512,6.75
2002-02-19,995.1525461293401,98.515254612934,990.0,0.0006364920135051872,8095.225108897709,10166.362282282063,12632.232200833572,6.75
2002-02-20,995.2918067037369,98.52918067037369,990.0,0.0006364920135051872,8314.019015878459,10151.431567550026,12625.061929663634,6.75
2002-02-21,995.1276516769337,98.51276516769337,990.0,0.0006364920135051872,8056.113145388269,10132.32160941937,12617.915415420815,6.75
2002-02-22,995.2119938267241,98.5211993826724,990.0,0.0006364920135051872,8188.624077184375,10115.328233161568,12610.524553903495,6.75
2002-02-25,995.3993662099465,98.53993662099465,990.0,0.0006364920135051872,8483.007006186877,10099.834571656333,12603.621050269954,6.75
2002-02-26,995.3988795306418,98.53988795306418,990.0,0.0006364920135051872,8482.242378674897,10082.622145309671,12596.001432363635,6.75
2002-02-27,995.4038434358152,98.54038434358152,990.0,0.0006364920135051872,8490.041227785432,10064.75103750727,12588.503212413068,6.75
2002-02-28,995.3730725571567,98.53730725571566,990.0,0.0006364920135051872,8441.69674269267,10047.322265890087,12580.124262571102,6.75
2002-03-01,995.6163034582016,98.56163034582016,990.0,0.0006364920135051872,8823.839638257894,10031.911047624228,12572.64508148845,6.75
2002-03-04,995.8352429239776,98.58352429239775,990.0,0.0006364920135051872,9167.817977546392,10018.902823892024,12565.12025624391,6.75
2002-03-05,995.7573614663844,98.57573614663843,990.0,0.0006364920135051872,9045.457514350272,10007.356890744915,12557.419148669793,6.75
2002-03-06,995.9244351592771,98.59244351592771,990.0,0.0006364920135051872,9307.948935055674,9996.012871678533,12550.911907006812,6.75
2002-03-07,995.8711403617109,98.58711403617109,990.0,0.0006364920135051872,9224.216859184537,9985.487815813623,12545.187160362426,6.75
2002-03-08,995.9398163819759,98.59398163819759,990.0,0.0006364920135051872,9332.114552804935,9977.905740187962,12539.712158310205,6.75
2002-03-11,995.9801188352895,98.59801188352895,990.0,0.0006364920135051872,9395.434205618325,9969.915576828722,12535.522719294751,6.75
