Price,Japan
Ticker,^N225
Date,
2000-12-29,13785.6904296875
2001-01-04,13691.490234375
2001-01-05,13867.6103515625
2001-01-09,13610.509765625
2001-01-10,13432.650390625
2001-01-11,13201.0703125
2001-01-12,13347.740234375
2001-01-15,13506.23046875
2001-01-16,13584.4501953125
2001-01-17,13667.6298828125
2001-01-18,13873.919921875
2001-01-19,13989.1201171875
2001-01-22,14032.419921875
2001-01-23,13984.66015625
2001-01-24,13893.580078125
2001-01-25,13803.3798828125
2001-01-26,13696.0595703125
2001-01-29,13845.2802734375
2001-01-30,13826.650390625
2001-01-31,13843.5498046875
2001-02-01,13779.5498046875
2001-02-02,13703.6298828125
2001-02-05,13385.51953125
2001-02-06,13269.849609375
2001-02-07,13366.009765625
2001-02-08,13138.23046875
2001-02-09,13422.830078125
2001-02-13,13274.7001953125
2001-02-14,13284.0595703125
2001-02-15,13327.3896484375
2001-02-16,13175.490234375
2001-02-19,13119.58984375
2001-02-20,13248.3603515625
2001-02-21,13100.080078125
2001-02-22,13073.3603515625
2001-02-23,13246.0
2001-02-26,13201.1396484375
2001-02-27,13059.8603515625
2001-02-28,12883.5400390625
2001-03-01,12681.66015625
2001-03-02,12261.7998046875
2001-03-05,12322.16015625
2001-03-06,12687.740234375
2001-03-07,12723.8896484375
2001-03-08,12650.5595703125
2001-03-09,12627.900390625
2001-03-12,12171.3701171875
2001-03-13,11819.7001953125
2001-03-14,11843.58984375
2001-03-15,12152.830078125
2001-03-16,12232.98046875
2001-03-19,12190.9697265625
2001-03-21,13103.9404296875
2001-03-22,12853.9697265625
2001-03-23,13214.5400390625
2001-03-26,13862.3095703125
2001-03-27,13638.330078125
2001-03-28,13765.509765625
2001-03-29,13072.3603515625
2001-03-30,12999.7001953125
2001-04-02,12937.8603515625
2001-04-03,13124.4697265625
2001-04-04,13242.7802734375
2001-04-05,13381.3798828125
2001-04-06,13383.759765625
2001-04-09,12841.759765625
2001-04-10,12620.26953125
2001-04-11,13174.9296875
2001-04-12,13352.4404296875
2001-04-13,13385.7197265625
2001-04-16,13254.8896484375
2001-04-17,13067.08984375
2001-04-18,13641.7900390625
2001-04-19,13868.2802734375
2001-04-20,13765.669921875
2001-04-23,13715.599609375
2001-04-24,13743.1796875
2001-04-25,13827.5
2001-04-26,13973.0302734375
2001-04-27,13934.3203125
2001-05-01,14425.4599609375
2001-05-02,14421.6396484375
2001-05-07,14529.41015625
2001-05-08,14289.0498046875
2001-05-09,14084.849609375
2001-05-10,14017.7900390625
2001-05-11,14043.919921875
2001-05-14,13873.01953125
2001-05-15,14054.0302734375
2001-05-16,13694.26953125
2001-05-17,13910.669921875
2001-05-18,13877.76953125
2001-05-21,14176.830078125
2001-05-22,14091.1904296875
2001-05-23,14067.7001953125
2001-05-24,13895.7900390625
2001-05-25,13765.919921875
2001-05-28,13737.76953125
2001-05-29,13773.8896484375
2001-05-30,13493.349609375
2001-05-31,13262.1396484375
2001-06-01,13261.83984375
2001-06-04,13312.349609375
2001-06-05,13182.0
2001-06-06,13174.83984375
2001-06-07,13277.509765625
2001-06-08,13430.2197265625
2001-06-11,13226.48046875
2001-06-12,12840.099609375
2001-06-13,12823.4501953125
2001-06-14,12846.66015625
2001-06-15,12790.3798828125
2001-06-18,12697.7900390625
2001-06-19,12574.259765625
2001-06-20,12674.6396484375
2001-06-21,12962.4296875
2001-06-22,13044.6103515625
2001-06-25,12896.4697265625
2001-06-26,12978.8203125
2001-06-27,12828.98046875
2001-06-28,12679.8798828125
2001-06-29,12969.0498046875
2001-07-02,12751.1796875
2001-07-03,12817.41015625
2001-07-04,12629.01953125
2001-07-05,12607.2998046875
2001-07-06,12306.080078125
2001-07-09,12239.6796875
2001-07-10,12300.41015625
2001-07-11,12005.1103515625
2001-07-12,12407.9501953125
2001-07-13,12355.150390625
2001-07-16,12343.3701171875
2001-07-17,12128.5703125
2001-07-18,11892.580078125
2001-07-19,11908.3896484375
2001-07-23,11609.6298828125
2001-07-24,11883.25
2001-07-25,11891.6103515625
2001-07-26,11858.5595703125
2001-07-27,11798.080078125
2001-07-30,11579.26953125
2001-07-31,11860.76953125
2001-08-01,11959.330078125
2001-08-02,12399.2001953125
2001-08-03,12241.9697265625
2001-08-06,12243.900390625
2001-08-07,12319.4599609375
2001-08-08,12163.669921875
2001-08-09,11754.5595703125
2001-08-10,11735.0595703125
2001-08-13,11477.5595703125
2001-08-14,11917.9501953125
2001-08-15,11755.400390625
2001-08-16,11515.01953125
2001-08-17,11445.5400390625
2001-08-20,11257.9404296875
2001-08-21,11280.3798828125
2001-08-22,11396.4296875
2001-08-23,11126.919921875
2001-08-24,11166.3095703125
2001-08-27,11275.009765625
2001-08-28,11189.400390625
2001-08-29,10979.759765625
2001-08-30,10938.4501953125
2001-08-31,10713.509765625
2001-09-03,10409.6796875
2001-09-04,10772.58984375
2001-09-05,10598.7900390625
2001-09-06,10650.330078125
2001-09-07,10516.7900390625
2001-09-10,10195.6904296875
2001-09-11,10292.9501953125
2001-09-12,9610.099609375
2001-09-13,9613.08984375
2001-09-14,10008.8896484375
2001-09-17,9504.41015625
2001-09-18,9679.8798828125
2001-09-19,9939.599609375
2001-09-20,9785.16015625
2001-09-21,9554.990234375
2001-09-25,9693.9697265625
2001-09-26,9641.7001953125
2001-09-27,9696.5302734375
2001-09-28,9774.6796875
2001-10-01,9972.2802734375
2001-10-02,10136.5595703125
2001-10-03,9924.23046875
2001-10-04,10205.48046875
2001-10-05,10205.8701171875
2001-10-09,10011.76953125
2001-10-10,9964.8798828125
2001-10-11,10347.009765625
2001-10-12,10632.349609375
2001-10-15,10452.5400390625
2001-10-16,10637.8203125
2001-10-17,10755.4501953125
2001-10-18,10474.849609375
2001-10-19,10538.7900390625
2001-10-22,10565.41015625
2001-10-23,10861.5595703125
2001-10-24,10802.150390625
2001-10-25,10880.099609375
2001-10-26,10795.16015625
2001-10-29,10612.3095703125
2001-10-30,10512.8203125
2001-10-31,10366.33984375
2001-11-01,10347.2802734375
2001-11-02,10383.7802734375
2001-11-05,10447.5400390625
2001-11-06,10633.7197265625
2001-11-07,10284.98046875
2001-11-08,10431.7900390625
2001-11-09,10215.7099609375
2001-11-12,10081.5595703125
2001-11-13,10030.5595703125
2001-11-14,10086.759765625
2001-11-15,10489.8896484375
2001-11-16,10649.08984375
2001-11-19,10727.9404296875
2001-11-20,10575.6201171875
2001-11-21,10661.080078125
2001-11-22,10696.8203125
2001-11-26,11064.2998046875
2001-11-27,10948.8896484375
2001-11-28,10624.8095703125
2001-11-29,10655.9599609375
2001-11-30,10697.4404296875
2001-12-03,10370.6201171875
2001-12-04,10452.650390625
2001-12-05,10713.8095703125
2001-12-06,10857.2802734375
2001-12-07,10796.8896484375
2001-12-10,10571.009765625
2001-12-11,10473.91015625
2001-12-12,10801.51953125
2001-12-13,10433.4501953125
2001-12-14,10511.650390625
2001-12-17,10323.349609375
2001-12-18,10432.169921875
2001-12-19,10471.9296875
2001-12-20,10434.51953125
2001-12-21,10335.4501953125
2001-12-25,10254.8095703125
2001-12-26,10192.5703125
2001-12-27,10457.6103515625
2001-12-28,10542.6201171875
2002-01-04,10871.490234375
2002-01-07,10942.3603515625
2002-01-08,10695.599609375
2002-01-09,10663.98046875
2002-01-10,10538.4296875
2002-01-11,10441.58984375
2002-01-15,10208.0498046875
2002-01-16,10177.580078125
2002-01-17,10128.1796875
2002-01-18,10293.3203125
2002-01-21,10280.25
2002-01-22,10050.98046875
2002-01-23,10040.91015625
2002-01-24,10074.0498046875
2002-01-25,10144.1396484375
2002-01-28,10220.849609375
2002-01-29,10026.0302734375
2002-01-30,9919.48046875
2002-01-31,9997.7998046875
2002-02-01,9791.4296875
2002-02-04,9631.9296875
2002-02-05,9475.599609375
2002-02-06,9420.849609375
2002-02-07,9583.26953125
2002-02-08,9686.0595703125
2002-02-12,9877.990234375
2002-02-13,9968.349609375
2002-02-14,10081.08984375
2002-02-15,10048.099609375
2002-02-18,10093.25
2002-02-19,9847.16015625
2002-02-20,9834.1298828125
2002-02-21,10295.419921875
2002-02-22,10356.7802734375
2002-02-25,10296.4697265625
2002-02-26,10202.6298828125
2002-02-27,10573.08984375
2002-02-28,10587.830078125
2002-03-01,10812.0
2002-03-04,11450.2197265625
2002-03-05,11348.4501953125
2002-03-06,11358.5302734375
2002-03-07,11648.33984375
2002-03-08,11885.7900390625
2002-03-11,11919.2998046875
2002-03-12,11607.330078125
2002-03-13,11415.3095703125
2002-03-14,11568.8203125
2002-03-15,11648.009765625
2002-03-18,11498.3798828125
2002-03-19,11792.8203125
2002-03-20,11526.7802734375
2002-03-22,11345.080078125
2002-03-25,11261.08984375
2002-03-26,11207.919921875
2002-03-27,11323.6796875
2002-03-28,11333.1103515625
2002-03-29,11024.9404296875
2002-04-01,11028.7001953125
2002-04-02,11204.490234375
2002-04-03,11400.7099609375
2002-04-04,11379.2001953125
2002-04-05,11335.490234375
2002-04-08,11352.8896484375
2002-04-09,11114.490234375
2002-04-10,11218.580078125
