Price,Germany
Ticker,
Date,
2018-10-16,12954.204785156251
2018-10-17,12886.533300781251
2018-10-18,12748.130957031251
2018-10-19,12709.213085937501
2018-10-22,12676.773828125
2018-10-23,12401.70830078125
2018-10-24,12310.79287109375
2018-10-25,12437.832128906251
2018-10-26,12320.682128906252
2018-10-29,12469.028515625001
2018-10-30,12416.128613281251
2018-10-31,12592.260742187502
2018-11-01,12615.394042968752
2018-11-02,12670.889257812501
2018-11-05,12644.45595703125
2018-11-06,12632.773828125
2018-11-07,12737.0095703125
2018-11-08,12680.052343750001
2018-11-09,12682.076171875002
2018-11-12,12457.984472656251
2018-11-13,12619.44169921875
2018-11-14,12553.783300781251
2018-11-15,12489.0369140625
2018-11-16,12475.1
2018-11-19,12368.99404296875
2018-11-20,12173.051171875
2018-11-21,12368.586914062502
2018-11-22,12252.3392578125
2018-11-23,12311.959472656252
2018-11-26,12490.19169921875
2018-11-27,12440.02138671875
2018-11-28,12428.76787109375
2018-11-29,12428.053515625
2018-11-30,12382.9642578125
2018-12-03,12612.005957031251
2018-12-04,12468.85234375
2018-12-05,12320.264257812501
2018-12-06,11892.078515625
2018-12-07,11866.898828125
2018-12-10,11684.277343750002
2018-12-11,11858.560742187501
2018-12-12,12022.372656250001
2018-12-13,12017.17021484375
2018-12-14,11952.346484375
2018-12-17,11849.42021484375
2018-12-18,11814.978613281251
2018-12-19,11842.83095703125
2018-12-20,11672.209570312501
2018-12-21,11697.202343750001
2018-12-27,11419.660742187501
2018-12-28,11614.855957031252
2019-01-02,11638.209472656252
2019-01-03,11458.326171875002
2019-01-04,11844.459472656252
2019-01-07,11822.590527343751
2019-01-08,11884.378515625001
2019-01-09,11982.652343750002
2019-01-10,12013.748828125
2019-01-11,11976.20595703125
2019-01-14,11941.501171875001
2019-01-15,11980.96904296875
2019-01-16,12024.364257812502
2019-01-17,12010.482128906251
2019-01-18,12326.09404296875
2019-01-21,12249.82021484375
2019-01-22,12199.12138671875
2019-01-23,12178.694042968751
2019-01-24,12243.19765625
2019-01-25,12409.96904296875
2019-01-28,12331.340527343751
2019-01-29,12340.713085937501
2019-01-30,12299.826171875002
2019-01-31,12290.4095703125
2019-02-01,12298.726171875001
2019-02-04,12294.2380859375
2019-02-05,12504.778515625001
2019-02-06,12457.19169921875
2019-02-07,12124.221484375
2019-02-08,11997.45830078125
2019-02-11,12116.048828125002
2019-02-12,12238.688085937501
2019-02-13,12283.94169921875
2019-02-14,12198.769042968752
2019-02-15,12429.779785156252
2019-02-18,12429.120214843751
2019-02-19,12440.130957031251
2019-02-20,12542.166699218751
2019-02-21,12565.60830078125
2019-02-22,12603.470214843752
2019-02-25,12655.92861328125
2019-02-26,12694.86904296875
2019-02-27,12636.063085937501
2019-02-28,12667.203613281252
2019-03-01,12761.847656250002
2019-03-04,12751.926171875
2019-03-05,12782.8142578125
2019-03-06,12746.39287109375
2019-03-07,12669.579785156251
2019-03-08,12603.623828125
2019-03-11,12697.828515625
2019-03-12,12676.586914062502
2019-03-13,12729.651171875
2019-03-14,12746.21669921875
2019-03-15,12854.259472656251
2019-03-18,12822.76552734375
2019-03-19,12967.251171875001
2019-03-20,12764.27861328125
2019-03-21,12704.95595703125
2019-03-22,12500.586914062502
2019-03-25,12481.315429687502
2019-03-26,12561.428515625
2019-03-27,12560.944042968751
2019-03-28,12570.976171875001
2019-03-29,12678.644042968752
2019-04-01,12850.1892578125
2019-04-02,12930.269042968752
2019-04-03,13149.840429687501
2019-04-04,13186.810742187501
2019-04-05,13210.725
2019-04-08,13159.740429687501
2019-04-09,13035.62734375
2019-04-10,13096.501171875001
2019-04-11,13128.720214843752
2019-04-12,13199.92265625
2019-04-15,13222.308300781251
2019-04-16,13311.452343750001
2019-04-17,13368.37734375
2019-04-18,13444.628613281251
2019-04-23,13459.060742187501
2019-04-24,13544.476171875001
2019-04-25,13510.859570312501
2019-04-26,13546.69765625
2019-04-29,13560.821484375001
2019-04-30,13578.4880859375
2019-05-02,13579.961914062502
2019-05-03,13654.025000000001
2019-05-06,13515.567871093752
2019-05-07,13302.014257812501
2019-05-08,13397.92265625
2019-05-09,13171.3119140625
2019-05-10,13265.813085937501
2019-05-13,13064.315429687502
2019-05-14,13190.78212890625
2019-05-15,13309.527343750002
2019-05-16,13541.40712890625
2019-05-17,13462.834472656252
2019-05-20,13245.419042968751
2019-05-21,13357.81669921875
2019-05-22,13385.614257812502
2019-05-23,13147.651171875
2019-05-24,13212.144042968752
2019-05-27,13278.29765625
2019-05-28,13229.75478515625
2019-05-29,13021.590527343751
2019-05-30,13092.288085937502
2019-05-31,12899.523828125
2019-06-03,12972.090527343751
2019-06-04,13168.2869140625
2019-06-05,13178.89052734375
2019-06-06,13148.453613281252
2019-06-07,13249.91787109375
2019-06-11,13371.39052734375
2019-06-12,13327.247656250001
2019-06-13,13385.954785156251
2019-06-14,13306.0404296875
2019-06-17,13294.402343750002
2019-06-18,13564.925000000001
2019-06-19,13539.383300781252
2019-06-20,13590.92861328125
2019-06-21,13573.9119140625
2019-06-24,13502.027343750002
2019-06-25,13451.28447265625
2019-06-26,13469.85234375
2019-06-27,13498.133300781252
2019-06-28,13638.679785156251
2019-07-01,13773.51787109375
2019-07-02,13779.391699218751
2019-07-03,13877.864257812502
2019-07-04,13892.8904296875
2019-07-05,13825.383300781252
2019-07-08,13797.8607421875
2019-07-09,13680.204785156251
2019-07-10,13610.751171875001
2019-07-11,13565.332128906251
2019-07-12,13555.652343750002
2019-07-15,13626.073828125001
2019-07-16,13674.06669921875
2019-07-17,13575.133300781252
2019-07-18,13450.6345703125
2019-07-19,13486.077343750001
2019-07-22,13518.340429687501
2019-07-23,13739.8142578125
2019-07-24,13775.17861328125
2019-07-25,13598.309570312502
2019-07-26,13661.8904296875
2019-07-29,13659.21669921875
2019-07-30,13361.9642578125
2019-07-31,13407.944042968751
2019-08-01,13478.465429687501
2019-08-02,13059.68447265625
2019-08-05,12824.3607421875
2019-08-06,12724.755957031251
2019-08-07,12815.1654296875
2019-08-08,13029.951171875002
2019-08-09,12863.179785156251
2019-08-12,12847.647656250001
2019-08-13,12925.14287109375
2019-08-14,12641.926171875
2019-08-15,12553.9369140625
2019-08-16,12719.014257812501
2019-08-19,12886.90712890625
2019-08-20,12816.29765625
2019-08-21,12983.1345703125
2019-08-22,12921.74404296875
2019-08-23,12772.660742187501
2019-08-26,12823.84404296875
2019-08-27,12903.021484375002
2019-08-28,12871.121484375
2019-08-29,13022.76787109375
2019-08-30,13133.20830078125
2019-09-02,13149.158300781251
2019-09-03,13101.946386718751
2019-09-04,13227.544042968751
2019-09-05,13339.45830078125
2019-09-06,13410.903515625001
2019-09-09,13448.709570312501
2019-09-10,13495.58095703125
2019-09-11,13594.97734375
2019-09-12,13651.275000000001
2019-09-13,13715.383300781252
2019-09-16,13618.340527343751
2019-09-17,13609.87138671875
2019-09-18,13628.582128906251
2019-09-19,13703.470214843752
2019-09-20,13714.810742187501
2019-09-23,13576.563085937501
2019-09-24,13537.865429687501
2019-09-25,13457.597656250002
2019-09-26,13517.394042968752
2019-09-27,13619.03447265625
2019-09-30,13670.8880859375
2019-10-01,13490.213085937501
2019-10-02,13117.775000000001
2019-10-04,13214.090527343751
2019-10-07,13307.17265625
2019-10-08,13167.220214843752
2019-10-09,13303.685742187501
2019-10-10,13380.620214843751
2019-10-11,13762.815429687502
2019-10-14,13735.215527343751
2019-10-15,13892.769042968752
2019-10-16,13937.12138671875
2019-10-17,13920.44521484375
2019-10-18,13896.959570312501
2019-10-21,14022.755957031251
2019-10-22,14030.15947265625
2019-10-23,14078.009472656251
2019-10-24,14159.309570312502
2019-10-25,14183.9607421875
2019-10-28,14235.880957031251
2019-10-29,14233.582128906251
2019-10-30,14201.253515625001
2019-10-31,14153.46904296875
2019-11-01,14257.154785156252
2019-11-04,14449.908300781251
2019-11-05,14463.35
2019-11-06,14497.878613281251
2019-11-07,14618.405957031251
2019-11-08,14551.415527343752
2019-11-11,14518.207128906251
2019-11-12,14611.8607421875
2019-11-13,14553.077343750001
2019-11-14,14498.253515625001
2019-11-15,14565.925000000001
2019-11-18,14527.7107421875
2019-11-19,14543.232128906251
2019-11-20,14473.953613281252
2019-11-21,14451.470214843752
2019-11-22,14480.26787109375
2019-11-25,14571.095214843752
2019-11-26,14560.0619140625
2019-11-27,14615.777343750002
2019-11-28,14570.1380859375
2019-11-29,14560.01787109375
2019-12-02,14261.147656250001
2019-12-03,14288.21904296875
2019-12-04,14454.62734375
2019-12-05,14360.279785156252
2019-12-06,14483.2380859375
2019-12-09,14416.171386718752
2019-12-10,14377.791699218751
2019-12-11,14461.414257812501
2019-12-12,14543.80361328125
2019-12-13,14610.991699218752
2019-12-16,14748.426171875
2019-12-17,14616.6130859375
2019-12-18,14544.376171875001
2019-12-19,14533.155957031251
2019-12-20,14650.7904296875
2019-12-23,14631.078515625
2019-12-27,14670.821386718751
2019-12-30,14573.910742187501
2020-01-02,14724.522656250001
2020-01-03,14541.05361328125
2020-01-06,14439.6892578125
2020-01-07,14549.5130859375
2020-01-08,14652.19765625
2020-01-09,14844.565527343751
2020-01-10,14831.64052734375
2020-01-13,14796.671484375001
2020-01-14,14802.139257812501
2020-01-15,14775.529785156252
2020-01-16,14772.372656250001
2020-01-17,14878.742871093751
2020-01-20,14903.834472656252
2020-01-21,14911.457128906251
2020-01-22,14867.325
2020-01-23,14727.261914062501
2020-01-24,14934.347656250002
2020-01-27,14525.246484375
2020-01-28,14656.05947265625
2020-01-29,14679.500000000002
2020-01-30,14472.832128906251
2020-01-31,14280.166699218751
2020-02-03,14349.709472656252
2020-02-04,14609.914257812501
2020-02-05,14826.163085937502
2020-02-06,14932.302343750001
2020-02-07,14865.190527343751
2020-02-10,14843.433300781251
2020-02-11,14990.623828125
2020-02-12,15124.758300781252
2020-02-13,15119.972656250002
2020-02-14,15118.630957031251
2020-02-17,15162.27861328125
2020-02-18,15049.30947265625
2020-02-19,15167.900000000001
2020-02-20,15030.400000000001
2020-02-21,14937.2630859375
2020-02-24,14338.764257812501
2020-02-25,14069.539257812501
2020-02-26,14052.367871093751
2020-02-27,13604.20595703125
2020-02-28,13079.3845703125
2020-03-02,13043.65712890625
2020-03-03,13183.92861328125
2020-03-04,13340.459472656252
2020-03-05,13139.19169921875
2020-03-06,12696.057128906252
2020-03-09,11687.521484375002
2020-03-10,11523.039257812501
2020-03-11,11482.54765625
2020-03-12,10077.242871093751
2020-03-13,10155.2880859375
